TOWN,LISTYEAR,AVERAGESALEAMOUNT,AVERAGEINCOME,AVERAGECRIMERATE
Bethel,2013                                  ,481608.20714285714,68360.66,50.90909090909091
Bethel,2014                                  ,319344.7949438202,63205.38,46.09090909090909
Bethel,2015                                  ,325813.1972972973,59281.46,47.45454545454545
Bethel,2016                                  ,339411.2244318182,55044.18,45
Bethlehem,2010                                  ,211159.72222222222,21257.48,5.454545454545454
Bethlehem,2011                                  ,267716.26923076925,21341.48,7.909090909090909
Bethlehem,2012                                  ,298330.3488372093,18416.5,5.454545454545454
Bethlehem,2014                                  ,266615.8333333333,19665.3,4.636363636363637
Bethlehem,2015                                  ,221638.26086956522,24002.02,2.727272727272727
Bethlehem,2016                                  ,275942.76086956525,29681.04,4.636363636363637
Bethlehem,2017                                  ,303476.6538461539,32324.95,3
Bloomfield,2010                                  ,276995.5896226415,54824.82,162.45454545454547
Bloomfield,2011                                  ,327238.6293103448,54709.96,156.54545454545453
Bloomfield,2012                                  ,250017.92805755395,52826,146.72727272727272
Bloomfield,2013                                  ,241030.41911764705,51820.74,138.9090909090909
Bloomfield,2015                                  ,495364.2282282282,57407.56,156
Bloomfield,2016                                  ,344175.90643274854,61519.94,155.27272727272728
Bloomfield,2017                                  ,393581.39423076925,63782.75,169.72727272727272
Bolton,2010                                  ,257647.5,33622.84,10.090909090909092
Bolton,2011                                  ,233255.1875,31757,11.181818181818182
Bolton,2012                                  ,218434.86363636365,28486.74,9.090909090909092
Bolton,2013                                  ,249291.2619047619,32694.36,9
Bolton,2014                                  ,220687.52777777778,31748,5.181818181818182
Bolton,2015                                  ,237374.33766233767,31780.14,8.090909090909092
Bolton,2016                                  ,256972,30989.44,6.818181818181818
Bolton,2017                                  ,270160.61627906974,33454.3,5.181818181818182
Bozrah,2010                                  ,181639.30434782608,33336.62,8.727272727272727
Bozrah,2011                                  ,183116.4,30849.82,7.090909090909091
Bozrah,2013                                  ,156777.59375,27880.42,6
Bozrah,2014                                  ,420469.77142857143,27811.72,4.636363636363637
Bozrah,2015                                  ,177175.89130434784,30292.02,3.8181818181818183
Bozrah,2016                                  ,242456.52173913043,29123.34,7.363636363636363
Branford,2010                                  ,316623.7684210526,54686.84,231.36363636363637
Branford,2011                                  ,278067.0026385224,52201.86,212.27272727272728
Branford,2012                                  ,286595.6307053942,49426.52,190.72727272727272
Branford,2013                                  ,309501.932,48637.66,177.63636363636363
Branford,2015                                  ,278486.2090909091,50369.1,193.0909090909091
Branford,2016                                  ,286700.8460264901,48252.42,151.36363636363637
Branford,2017                                  ,345283.7196401799,49468.65,156.8181818181818
Bridgeport,2010                                  ,148052.43957597174,36831.34,1664.090909090909
Bridgeport,2011                                  ,145897.7938718663,37269.94,1926
Bridgeport,2012                                  ,161840.17105263157,37751.18,1887.6363636363637
Bridgeport,2013                                  ,156225.989272944,37118.68,1601.2727272727273
Bridgeport,2014                                  ,148243.59793222285,35895.74,1536.4545454545455
Bridgeport,2016                                  ,185748.6011264721,35557.06,1193.4545454545455
Bridgeport,2017                                  ,183389.89479166668,34857.05,1291.5454545454545
Bridgewater,2010                                  ,652499.3076923077,43960.8,4.090909090909091
Bridgewater,2011                                  ,741666.6666666666,47000.12,4.090909090909091
Bridgewater,2012                                  ,508214.28571428574,50170.14,3.272727272727273
Bridgewater,2013                                  ,485021.70967741933,54395.2,1.6363636363636365
Bridgewater,2014                                  ,571300.4090909091,55166.14,2.1818181818181817
Bridgewater,2015                                  ,633134.8372093023,51752.52,1.3636363636363635
Bridgewater,2017                                  ,812399.2857142857,44716.9,3.272727272727273
Bristol,2010                                  ,191052.01960784313,44338.08,418.6363636363636
Bristol,2011                                  ,170353.85959438377,44923.3,444.27272727272725
Bristol,2013                                  ,261093.8232044199,40889.46,403.6363636363636
Bristol,2014                                  ,174329.99524375744,41386.6,431.90909090909093
Bristol,2015                                  ,190337.47471264369,43560.82,356.45454545454544
Bristol,2016                                  ,188281.55154639174,45099.2,276.45454545454544
Brookfield,2010                                  ,436563.6040609137,67772.82,40.63636363636363
Brookfield,2012                                  ,357244.73154362413,56672.02,52.90909090909091
Brookfield,2013                                  ,393572.56104651163,50057.14,46.63636363636363
Brookfield,2014                                  ,398091.449704142,47258.1,45.27272727272727
Brookfield,2015                                  ,354142.9306358381,48227.7,40.45454545454545
Brookfield,2017                                  ,424101.7238605898,51172.4,34.09090909090909
Brooklyn,2010                                  ,168235.68041237115,21846.96,24.181818181818183
Brooklyn,2011                                  ,243521.56310679612,20443.9,19.272727272727273
Brooklyn,2012                                  ,173912.37391304347,18386.3,22.90909090909091
Brooklyn,2013                                  ,174899.70212765958,16411.54,22.363636363636363
Brooklyn,2014                                  ,187760.41875,15914.4,42
Brooklyn,2016                                  ,194927.43529411763,19009.96,12.909090909090908
Brooklyn,2017                                  ,220363.5340909091,19876.175,12
Burlington,2010                                  ,300404.3384615385,72857.9,16.727272727272727
Burlington,2011                                  ,321581.672,69453.16,12.272727272727273
Burlington,2012                                  ,313413.00657894736,69730.1,17.454545454545453
Burlington,2014                                  ,299426.7419354839,59990.66,10.090909090909092
Burlington,2015                                  ,316723.36842105264,61805.22,6
Burlington,2016                                  ,317298.9672131148,62722.12,4.363636363636363
Burlington,2017                                  ,339538.3882978723,61285.4,6.545454545454546
Canaan,2010                                  ,235140,12840.26,3.5454545454545454
Canaan,2011                                  ,220079.93333333332,13361.26,1.3636363636363635
Canaan,2013                                  ,242807.39130434784,15555.44,4.909090909090909
Canaan,2014                                  ,284416.39130434784,17378.62,2.1818181818181817
Canaan,2015                                  ,198802.24,19239.4,0.8181818181818182
Canaan,2016                                  ,225318,19253.14,1.6363636363636365
Canterbury,2010                                  ,147777.8153846154,21285.34,11
Canterbury,2011                                  ,153674.04615384617,22325.56,12.818181818181818
Canterbury,2012                                  ,186235.29411764705,21644.2,13.090909090909092
Canterbury,2013                                  ,142985.55737704918,24884.28,10.363636363636363
Canterbury,2014                                  ,170342.37313432837,29208.76,5.7272727272727275
Canterbury,2016                                  ,171004.09473684212,30216.92,6
Canterbury,2017                                  ,180022.78723404257,33407.325,9.909090909090908
Canton,2010                                  ,339029.96183206106,37430.48,33.27272727272727
Canton,2011                                  ,308514.1863354037,33559.92,30.545454545454547
Canton,2012                                  ,333125.53846153844,32417,24.272727272727273
Canton,2014                                  ,307465.309178744,37773.76,21.09090909090909
Canton,2015                                  ,321996.1105263158,36408.3,13.636363636363637
Canton,2016                                  ,294759.329004329,36503.02,33.54545454545455
Canton,2017                                  ,339777.5566502463,38241.125,18.545454545454547
Chaplin,2010                                  ,106087.5,30434.36,6.545454545454546
Chaplin,2011                                  ,163904.42105263157,30926.32,6.545454545454546
Chaplin,2012                                  ,138429.7619047619,32017.14,6.2727272727272725
Chaplin,2014                                  ,127429.83783783784,29589.42,5.454545454545454
Chaplin,2015                                  ,152316.14583333334,28243.94,4.090909090909091
Chaplin,2016                                  ,165487.5,27286.18,2.727272727272727
